|CENTER:1|CENTER:31||LEFT:60|CENTER:61|>|>|CENTER:61|c
|>||''曲名''|BPM((※があるものは細かなBPM変化がある))|BGCOLOR(#f30):COLOR(#111):''かん&br;たん''|BGCOLOR(#8c2):COLOR(#111):''ふつう''|BGCOLOR(#3ab):COLOR(#111):''むず&br;かしい''|BGCOLOR(gold):''ドン&br;だフル！''|h
||''1 / 35''|''ドラえもん音頭''&br;ジャンル・音頭|112|[[★×1>難易度表/かんたん/ドラえもん音頭]]|[[★×1>難易度表/ふつう/ドラえもん音頭]]|[[★×1>難易度表/むずかしい/ドラえもん音頭]]|[[★×2>難易度表/おに/ドラえもん音頭]]&br;譜面分岐あり|
|''新''|''2 / 35''|''おさかな天国''&br;ジャンル・J-POP|141|[[★×1>難易度表/かんたん/おさかな天国]]|[[★×5>難易度表/ふつう/おさかな天国]]|[[★×3>難易度表/むずかしい/おさかな天国]]|[[★×4>難易度表/おに/おさかな天国]]|
||''3 / 35''|''アンパンマンのマーチ''&br;ジャンル・アニメ|96.05※|[[★×1>難易度表/かんたん/アンパンマンのマーチ]]|[[★×4>難易度表/ふつう/アンパンマンのマーチ]]|[[★×3>難易度表/むずかしい/アンパンマンのマーチ]]|[[★×4>難易度表/おに/アンパンマンのマーチ]]|
|''新''|''4 / 35''|''ドラえもんのうた''&br;ジャンル・アニメ|123|[[★×1>難易度表/かんたん/ドラえもんのうた]]|[[★×1>難易度表/ふつう/ドラえもんのうた]]|[[★×2>難易度表/むずかしい/ドラえもんのうた]]|[[★×4>難易度表/おに/ドラえもんのうた]]|
|''新''|''5 / 35''|''Do it! Now''&br;ジャンル・J-POP|96|[[★×1>難易度表/かんたん/Do it! Now]]|[[★×4>難易度表/ふつう/Do it! Now]]|[[★×3>難易度表/むずかしい/Do it! Now]]|[[★×4>難易度表/おに/Do it! Now]]|
|''新''|''6 / 35''|''亜麻色の髪の乙女''&br;ジャンル・J-POP|100.2-114|[[★×2>難易度表/かんたん/亜麻色の髪の乙女]]|[[★×3>難易度表/ふつう/亜麻色の髪の乙女]]|[[★×4>難易度表/むずかしい/亜麻色の髪の乙女]]|[[★×5>難易度表/おに/亜麻色の髪の乙女]]|
|''新''|''7 / 35''|''島唄''&br;ジャンル・J-POP|74|[[★×2>難易度表/かんたん/島唄]]|[[★×4>難易度表/ふつう/島唄]]|[[★×2>難易度表/むずかしい/島唄]]|[[★×4>難易度表/おに/島唄]]|
|''新''|''8 / 35''|''independent''&br;ジャンル・J-POP|149|[[★×2>難易度表/かんたん/independent]]|[[★×4>難易度表/ふつう/independent]]|[[★×6>難易度表/むずかしい/independent]]&br;譜面分岐あり|[[★×7>難易度表/おに/independent]]|
|''新''|''9 / 35''|''勝手にシンドバッド''&br;ジャンル・J-POP|138|[[★×2>難易度表/かんたん/勝手にシンドバッド]]|[[★×4>難易度表/ふつう/勝手にシンドバッド]]|[[★×5>難易度表/むずかしい/勝手にシンドバッド]]&br;譜面分岐あり|[[★×7>難易度表/おに/勝手にシンドバッド]]|
