|CENTER:1|CENTER:31||LEFT:60|CENTER:61|>|>|CENTER:61|c
|>||''曲名''|BPM((※があるものは細かなBPM変化がある))|BGCOLOR(#f30):COLOR(#111):''かん&br;たん''|BGCOLOR(#8c2):COLOR(#111):''ふつう''|BGCOLOR(#3ab):COLOR(#111):''むず&br;かしい''|BGCOLOR(gold):''ドン&br;だフル！''|h
|''新''|''1/44''|''いぬのおまわりさん''|112|[[★×1>難易度表/かんたん/いぬのおまわりさん]]|[[★×1>難易度表/ふつう/いぬのおまわりさん]]|[[★×2>難易度表/むずかしい/いぬのおまわりさん]]|[[★×8>難易度表/おに/いぬのおまわりさん]]|
|''新''|''2/44''|''クラリネットをこわしちゃった''|108|[[★×1>難易度表/かんたん/クラリネットをこわしちゃった]]|[[★×1>難易度表/ふつう/クラリネットをこわしちゃった]]|[[★×1>難易度表/むずかしい/クラリネットをこわしちゃった]]|[[★×2>難易度表/おに/クラリネットをこわしちゃった]]|
||''3/44''|''もりのくまさん''|120|[[★×1>難易度表/かんたん/もりのくまさん]]|[[★×1>難易度表/ふつう/もりのくまさん]]|[[★×1>難易度表/おに/もりのくまさん]]|[[★×1>難易度表/おに/もりのくまさん]]|
||''4/44''|''アンパンマンのマーチ''|96|[[★×1>難易度表/かんたん/アンパンマンのマーチ]]|[[★×4>難易度表/ふつう/アンパンマンのマーチ]]|[[★×4>難易度表/むずかしい/アンパンマンのマーチ]]|[[★×3>難易度表/おに/アンパンマンのマーチ]]|
||''5/44''|''ドラえもんのうた''|123.5|[[★×1>難易度表/かんたん/ドラえもんのうた]]|[[★×1>難易度表/ふつう/ドラえもんのうた]]|[[★×2>難易度表/むずかしい/ドラえもんのうた]]|[[★×4>難易度表/おに/ドラえもんのうた]]|
|''新''|''6/44''|''特捜戦隊デカレンジャー''|170|[[★×2>難易度表/かんたん/特捜戦隊デカレンジャー]]|[[★×3>難易度表/ふつう/特捜戦隊デカレンジャー]]|[[★×3>難易度表/むずかしい/特捜戦隊デカレンジャー]]|[[★×7>難易度表/おに/特捜戦隊デカレンジャー]]|
|''新''|''7/44''|''おもちゃのチャチャチャ''|120|[[★×2>難易度表/かんたん/おもちゃのチャチャチャ]]|[[★×3>難易度表/ふつう/おもちゃのチャチャチャ]]|[[★×3>難易度表/むずかしい/おもちゃのチャチャチャ]]|[[★×6>難易度表/おに/おもちゃのチャチャチャ]]|
|''新''|''8/44''|''BON VOYAGE!''&br;　　SIZE(11){ワンピースより}|140|[[★×2>難易度表/かんたん/BON VOYAGE!]]|[[★×4>難易度表/ふつう/BON VOYAGE!]]|[[★×6>難易度表/むずかしい/BON VOYAGE!]]|[[★×8>難易度表/おに/BON VOYAGE!]]|
|''新''|''9/44''|''葛飾ラプソディ'' 〜ヤムヤムVersion〜&br;　　SIZE(11){こちら葛飾区亀有公園前派出所より}|191|[[★×2>難易度表/かんたん/葛飾ラプソディー 〜ヤムヤムVersion〜]]|[[★×2>難易度表/ふつう/葛飾ラプソディー 〜ヤムヤムVersion〜]]|[[★×4>難易度表/むずかしい/葛飾ラプソディー 〜ヤムヤムVersion〜]]|[[★×6>難易度表/おに/葛飾ラプソディー　〜ヤムヤムVersion〜]]|
||''10/44''|''ハム太郎とっとこうた''|140|[[★×2>難易度表/かんたん/ハム太郎とっとこうた]]|[[★×2>難易度表/ふつう/ハム太郎とっとこうた]]|[[★×4>難易度表/むずかしい/ハム太郎とっとこうた]]|[[★×5>難易度表/おに/ハム太郎とっとこうた]]|
